player_name,stats
 Bob Pettit,"{'games_played': 792, 'points_per_game': 26.4, 'rebounds_per_game': 16.2, 'assists_per_game': 3.0}"
 Don Nelson,"{'games_played': 1053, 'points_per_game': 10.3, 'rebounds_per_game': 4.9, 'assists_per_game': 1.4}"
 Reggie Miller,"{'games_played': 1389, 'points_per_game': 18.2, 'rebounds_per_game': 3.0, 'assists_per_game': 3.0}"
 Dikembe Mutombo,"{'games_played': 1196, 'points_per_game': 9.8, 'rebounds_per_game': 10.3, 'assists_per_game': 1.0}"
 Kevin McHale,"{'games_played': 971, 'points_per_game': 17.9, 'rebounds_per_game': 7.3, 'assists_per_game': 1.7}"
 Calvin Murphy,"{'games_played': 1002, 'points_per_game': 17.9, 'rebounds_per_game': 2.1, 'assists_per_game': 4.4}"
 Alonzo Mourning,"{'games_played': 838, 'points_per_game': 17.1, 'rebounds_per_game': 8.5, 'assists_per_game': 1.1}"
 Tracy McGrady,"{'games_played': 938, 'points_per_game': 19.6, 'rebounds_per_game': 5.6, 'assists_per_game': 4.4}"
 Earl Monroe,"{'games_played': 926, 'points_per_game': 18.8, 'rebounds_per_game': 3.0, 'assists_per_game': 3.9}"
 Vern Mikkelsen,"{'games_played': 699, 'points_per_game': 14.4, 'rebounds_per_game': 9.4, 'assists_per_game': 2.2}"
 George Mikan,"{'games_played': 439, 'points_per_game': 23.1, 'rebounds_per_game': 13.4, 'assists_per_game': 2.8}"
 Sidney Moncrief,"{'games_played': 767, 'points_per_game': 15.6, 'rebounds_per_game': 4.7, 'assists_per_game': 3.6}"
 Yao Ming,"{'games_played': 486, 'points_per_game': 19.0, 'rebounds_per_game': 9.2, 'assists_per_game': 1.6}"
 Pete Maravich,"{'games_played': 658, 'points_per_game': 24.2, 'rebounds_per_game': 4.2, 'assists_per_game': 5.4}"
 Alfred McGuire,"{'games_played': 191, 'points_per_game': 4.0, 'rebounds_per_game': 2.2, 'assists_per_game': 1.9}"
 Moses Malone,"{'games_played': 1455, 'points_per_game': 20.3, 'rebounds_per_game': 12.3, 'assists_per_game': 1.3}"
 Dick McGuire,"{'games_played': 738, 'points_per_game': 8.0, 'rebounds_per_game': 4.2, 'assists_per_game': 5.7}"
 Karl Malone,"{'games_played': 1476, 'points_per_game': 25.0, 'rebounds_per_game': 10.1, 'assists_per_game': 3.6}"
 Ed Macauley,"{'games_played': 641, 'points_per_game': 17.5, 'rebounds_per_game': 7.5, 'assists_per_game': 3.2}"
 George McGinnis,"{'games_played': 842, 'points_per_game': 20.2, 'rebounds_per_game': 11.0, 'assists_per_game': 3.7}"
 Slater Martin,"{'games_played': 745, 'points_per_game': 9.8, 'rebounds_per_game': 3.4, 'assists_per_game': 4.2}"
 Šarūnas Marčiulionis,"{'games_played': 363, 'points_per_game': 12.8, 'rebounds_per_game': 2.3, 'assists_per_game': 2.2}"
 Bernard King,"{'games_played': 874, 'points_per_game': 22.5, 'rebounds_per_game': 5.8, 'assists_per_game': 3.3}"
 Jason Kidd,"{'games_played': 1391, 'points_per_game': 12.6, 'rebounds_per_game': 6.3, 'assists_per_game': 8.7}"
 Michael Jordan,"{'games_played': 1072, 'points_per_game': 30.1, 'rebounds_per_game': 6.2, 'assists_per_game': 5.3}"
 Jerry Lucas,"{'games_played': 829, 'points_per_game': 17.0, 'rebounds_per_game': 15.6, 'assists_per_game': 3.3}"
 Bob McAdoo,"{'games_played': 852, 'points_per_game': 22.1, 'rebounds_per_game': 9.4, 'assists_per_game': 2.3}"
 Bobby Jones,"{'games_played': 941, 'points_per_game': 12.1, 'rebounds_per_game': 6.1, 'assists_per_game': 2.7}"
 Clyde Lovellette,"{'games_played': 704, 'points_per_game': 17.0, 'rebounds_per_game': 9.5, 'assists_per_game': 1.6}"
 Earl Lloyd,"{'games_played': 560, 'points_per_game': 8.4, 'rebounds_per_game': 6.4, 'assists_per_game': 1.4}"
 Slick Leonard,"{'games_played': 426, 'points_per_game': 9.9, 'rebounds_per_game': 2.9, 'assists_per_game': 3.3}"
 Magic Johnson,"{'games_played': 906, 'points_per_game': 19.5, 'rebounds_per_game': 7.2, 'assists_per_game': 11.2}"
 Dennis Johnson,"{'games_played': 1100, 'points_per_game': 14.1, 'rebounds_per_game': 3.9, 'assists_per_game': 5.0}"
 Bob Lanier,"{'games_played': 959, 'points_per_game': 20.1, 'rebounds_per_game': 10.1, 'assists_per_game': 3.1}"
 K.C. Jones,"{'games_played': 676, 'points_per_game': 7.4, 'rebounds_per_game': 3.5, 'assists_per_game': 4.3}"
 Allen Iverson,"{'games_played': 914, 'points_per_game': 26.7, 'rebounds_per_game': 3.7, 'assists_per_game': 6.2}"
 Neil Johnston,"{'games_played': 516, 'points_per_game': 19.4, 'rebounds_per_game': 11.3, 'assists_per_game': 2.5}"
 Sam Jones,"{'games_played': 871, 'points_per_game': 17.7, 'rebounds_per_game': 4.9, 'assists_per_game': 2.5}"
 Phil Jackson,"{'games_played': 807, 'points_per_game': 6.7, 'rebounds_per_game': 4.3, 'assists_per_game': 1.1}"
 Bailey Howell,"{'games_played': 950, 'points_per_game': 18.7, 'rebounds_per_game': 9.9, 'assists_per_game': 2.0}"
 Red Holzman,"{'games_played': 358, 'points_per_game': 6.1, 'rebounds_per_game': 1.5, 'assists_per_game': 2.0}"
 Grant Hill,"{'games_played': 1026, 'points_per_game': 16.7, 'rebounds_per_game': 6.0, 'assists_per_game': 4.1}"
 Bob Houbregs,"{'games_played': 281, 'points_per_game': 9.3, 'rebounds_per_game': 5.5, 'assists_per_game': 1.8}"
 Tom Heinsohn,"{'games_played': 654, 'points_per_game': 18.6, 'rebounds_per_game': 8.8, 'assists_per_game': 2.0}"
 Gus Johnson,"{'games_played': 631, 'points_per_game': 16.2, 'rebounds_per_game': 12.1, 'assists_per_game': 2.5}"
 Spencer Haywood,"{'games_played': 844, 'points_per_game': 20.3, 'rebounds_per_game': 10.3, 'assists_per_game': 1.8}"
 John Havlicek,"{'games_played': 1270, 'points_per_game': 20.8, 'rebounds_per_game': 6.3, 'assists_per_game': 4.8}"
 Dan Issel,"{'games_played': 1218, 'points_per_game': 22.6, 'rebounds_per_game': 9.1, 'assists_per_game': 2.4}"
 Alex Hannum,"{'games_played': 516, 'points_per_game': 6.0, 'rebounds_per_game': 4.5, 'assists_per_game': 1.7}"
 Cliff Hagan,"{'games_played': 839, 'points_per_game': 17.7, 'rebounds_per_game': 6.6, 'assists_per_game': 3.2}"
 Hal Greer,"{'games_played': 1122, 'points_per_game': 19.2, 'rebounds_per_game': 5.0, 'assists_per_game': 4.0}"
 Richie Guerin,"{'games_played': 848, 'points_per_game': 17.3, 'rebounds_per_game': 5.0, 'assists_per_game': 5.0}"
 Artis Gilmore,"{'games_played': 1329, 'points_per_game': 18.8, 'rebounds_per_game': 12.3, 'assists_per_game': 2.3}"
 George Gervin,"{'games_played': 1060, 'points_per_game': 25.1, 'rebounds_per_game': 5.3, 'assists_per_game': 2.6}"
 Connie Hawkins,"{'games_played': 616, 'points_per_game': 18.7, 'rebounds_per_game': 8.8, 'assists_per_game': 4.1}"
 Kevin Garnett,"{'games_played': 1462, 'points_per_game': 17.8, 'rebounds_per_game': 10.0, 'assists_per_game': 3.7}"
 Elvin Hayes,"{'games_played': 1303, 'points_per_game': 21.0, 'rebounds_per_game': 12.5, 'assists_per_game': 1.8}"
 Louie Dampier,"{'games_played': 960, 'points_per_game': 15.9, 'rebounds_per_game': 2.6, 'assists_per_game': 4.9}"
 Gail Goodrich,"{'games_played': 1031, 'points_per_game': 18.6, 'rebounds_per_game': 3.2, 'assists_per_game': 4.7}"
 Nat Clifton,"{'games_played': 544, 'points_per_game': 10.0, 'rebounds_per_game': 8.2, 'assists_per_game': 2.5}"
 Tom Gola,"{'games_played': 698, 'points_per_game': 11.3, 'rebounds_per_game': 8.0, 'assists_per_game': 4.2}"
